call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\jit\layer.py,Function,Function,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\jit.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\collective_softmax_with_cross_entropy_op_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\collective_softmax_with_cross_entropy_op_xpu.py,VarDesc,VarDesc,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\protobuf.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_run_program_op_npu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_run_program_op_npu.py,grad_var_suffix,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_run_program_op_npu.py,_set_grad_type,tensor__set_grad_type,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,Power,Power,F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\custom_extension.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,custom_add,custom_add,F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\custom_extension.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,custom_sub,custom_sub,F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\custom_extension.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,custom_add2,custom_add2,F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\mix_relu_and_extension.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\test_cpp_extension_setup.py,custom_sub2,custom_sub2,F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\cpp_extension\mix_relu_and_extension.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_eager_deletion_recurrent_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_eager_deletion_recurrent_op.py,scale,eager_api_scale,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_interface.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\cost_model\cost_model.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_eager_deletion_dynamic_rnn_base.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_eager_deletion_dynamic_rnn_base.py,Scope,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_logspace.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_new_cost_model.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\framework\ir.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\framework\ir.py,apply_pass,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\ir.cc
